"gmt_time","hk_time","subject"
"2018-12-10 23:52:00","2018-12-11 07:52:00","Canada Crown comments on defense proposal of CAD 15mln for bail of Huawei CFO in which it stated that bail should be half cash and half home equity "
"2018-12-10 23:50:00","2018-12-11 07:50:00","Japanese BSI Large Manufacturing (Q4) Q/Q 5.5 (Prev. 6.5)"
"2018-12-10 23:50:00","2018-12-11 07:50:00","Japanese BSI Large All Industry (Q4) Q/Q 4.3 (Prev. 3.8)"
"2018-12-10 23:50:00","2018-12-11 07:50:00","Japanese Money Supply M3 (Nov) Y/Y 2.1% vs. Exp. 2.3% (Prev. 2.3%)"
"2018-12-10 23:50:00","2018-12-11 07:50:00","Japanese Money Supply M2 (Nov) Y/Y 2.3% vs. Exp. 2.6% (Prev. 2.7%)"
"2018-12-10 23:28:00","2018-12-11 07:28:00","PRE-MARKET JAPANESE AND SOUTH KOREAN STOCK NEWS: NTT (9437 JT) tendered nearly 258mln shares for repurchase by NTT DoCoMo (9437 JT) in which it expects to record an extraordinary gain of JPY 596.1bln in its non-consolidated financial reports"
"2018-12-10 23:09:00","2018-12-11 07:09:00","China is to announce details of fist purchase of US soybeans, in which most will be added to state reserves"
"2018-12-10 23:01:00","2018-12-11 07:01:00","Total Port Arthur, Texas, refinery production has been cut back amid sulfur unit outage, according to sources"
"2018-12-10 22:49:00","2018-12-11 06:49:00","PRE-MARKET AUSTRALIAN STOCK NEWS: Energy names could be in focus after WTI fell over 3%"
"2018-12-10 22:39:00","2018-12-11 06:39:00","Japan is readying USD 18bln of stimulus ahead of next year's sales tax increase"
"2018-12-10 22:31:00","2018-12-11 06:31:00","UK PM May will meet with German Chancellor Merkel in Berlin tomorrow"
"2018-12-10 22:30:00","2018-12-11 06:30:00","Australian ANZ Roy Morgan Consumer Confidence (Dec 09) W/W 117.7 (Prev. 119.5)"
"2018-12-10 22:12:00","2018-12-11 06:12:00","ASIAN DAILY ECONOMIC RELEASES CALENDAR NOW AVAILABLE IN THE RESEARCH SECTION: Highlights include Japanese Money Supply and Business Sentiment Index, Australian Business Confidence and House Price Index "
"2018-12-10 22:07:00","2018-12-11 06:07:00","DAILY ASIA-PAC OPENING NEWS"
"2018-12-10 22:00:00","2018-12-11 06:00:00","ASIA-PAC SERVICE IS NOW LIVE FOR TODAY'S SESSION"
"2018-12-10 21:45:00","2018-12-11 05:45:00","New Zealand Card Spending Total (Nov) M/M -0.2% (Prev. -0.1%)"
"2018-12-10 21:45:00","2018-12-11 05:45:00","New Zealand Card Spending Retail (Nov) M/M -0.4% vs. Exp. 0.3% (Prev. 0.1%)"
"2018-12-10 21:45:00","2018-12-11 05:45:00","New Zealand Card Spending Retail (Nov) Y/Y 4.6% (Prev. 6.2%)"
"2018-12-10 21:12:00","2018-12-11 05:12:00","French Junior Minister says the measures announced by President Macron today are set to cost between EUR 8bln-10bln"
"2018-12-10 21:05:00","2018-12-11 05:05:00","RANsquawk US Market Wrap - 10th December: UK PM May delays vote "
"2018-12-10 21:05:00","2018-12-11 05:05:00","NOTICE: The desk will be closing at the earlier time of 1800GMT/1200CST on Friday 14th of December 2018 due to maintenance work - apologies for any inconvenience caused"
"2018-12-10 20:55:00","2018-12-11 04:55:00","UK Parliament will hold a 3 hour debate on Tuesday to defer the meaningful vote"
"2018-12-10 20:51:00","2018-12-11 04:51:00","UK Opposition Leader Corbyn says the Labour party will not table a no confidence motion prior to the Brexit vote"
"2018-12-10 20:47:00","2018-12-11 04:47:00","It appears that UK PM May could keep the current talks with EU going well passed January 21st ""perhaps right up to Brexit day 29 March, and avoid any parliamentary Brexit vote""; according to ITV political editor "
"2018-12-10 20:35:00","2018-12-11 04:35:00","UK Minister Rudd says PM May is committed to maintaining the backstop in the agreement, trying to get reassurance on whether it can be temporary"
"2018-12-10 20:09:00","2018-12-11 04:09:00","Daily Mail's Groves tweets: Brexiteer claims to have heard of 'a couple more' letters of no confidence in Mrs May going in tonight"
"2018-12-10 20:05:00","2018-12-11 04:05:00","Irish PM Varadkar says he agreed with EU's Tusk that preparations for a ""no deal"" Brexit should intensify"
"2018-12-10 20:03:00","2018-12-11 04:03:00","Chilean copper production increased 6% to 4.74mln tonnes from January to October"
